Name,Type 1,Type 2,HP,Att,Def,Spa,Spd,Spe,BST,Generation,Final Evolution,Catch Rate,Legendary,Weight,Height,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy
Blastoise,Water,,79,83,100,85,105,78,530,1,1,45,0,85.5,1.6,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Mega Blastoise,Water,,79,103,120,135,115,78,630,6,1,45,0,101.1,1.6,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Caterpie,Bug,,45,30,35,20,20,45,195,1,0,255,0,2.9,0.3,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Metapod,Bug,,50,20,55,25,25,30,205,1,0,120,0,9.9,0.7,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Butterfree,Bug,Flying,60,45,50,90,80,70,395,1,1,45,0,32.0,1.1,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
Weedle,Bug,Poison,40,35,30,20,20,50,195,1,0,255,0,3.2,0.3,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Kakuna,Bug,Poison,45,25,50,25,25,35,205,1,0,120,0,10.0,0.6,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Beedrill,Bug,Poison,65,90,40,45,80,75,395,1,1,45,0,29.5,1.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495,6,1,45,0,40.5,1.4,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Pidgey,Normal,Flying,40,45,40,35,35,56,251,1,0,255,0,1.8,0.3,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,1,0,120,0,30.0,1.1,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Pidgeot,Normal,Flying,83,80,75,70,70,101,479,1,1,45,0,39.5,1.5,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579,6,1,45,0,50.5,2.2,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Rattata,Normal,,30,56,35,25,35,72,253,1,0,255,0,3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Alolan Rattata,Dark,Normal,30,56,35,25,35,72,253,7,0,255,0,3.8,0.3,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
Raticate,Normal,,55,81,60,50,70,97,413,1,1,127,0,18.5,0.7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Alolan Raticate,Dark,Normal,75,71,70,40,80,77,413,7,1,127,0,25.5,0.7,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
Spearow,Normal,Flying,40,60,30,31,31,70,262,1,0,255,0,2.0,0.3,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Fearow,Normal,Flying,65,90,65,61,61,100,442,1,1,90,0,38.0,1.2,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Ekans,Poison,,35,60,44,40,54,55,288,1,0,255,0,6.9,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Arbok,Poison,,60,95,69,65,79,80,448,1,1,90,0,65.0,3.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Pikachu,Electric,,35,55,40,50,50,90,320,1,0,190,0,6.0,0.4,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Raichu,Electric,,60,90,55,90,80,110,485,1,1,75,0,30.0,0.8,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,485,7,1,75,0,21.0,0.7,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Sandshrew,Ground,,50,75,85,20,30,40,300,1,0,255,0,12.0,0.6,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,300,7,0,255,0,40.0,0.7,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
Sandslash,Ground,,75,100,110,45,55,65,450,1,1,90,0,29.5,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,450,7,1,90,0,55.0,1.2,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
Nidoran♀,Poison,,55,47,52,40,40,41,275,1,0,235,0,7.0,0.4,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidorina,Poison,,70,62,67,55,55,56,365,1,0,120,0,20.0,0.8,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1,1,45,0,60.0,1.3,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Nidoran♂,Poison,,46,57,40,40,40,50,273,1,0,235,0,9.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidorino,Poison,,61,72,57,55,55,65,365,1,0,120,0,19.5,0.9,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Nidoking,Poison,Ground,81,102,77,85,75,85,505,1,1,45,0,62.0,1.4,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Clefairy,Fairy,,70,45,48,60,65,35,323,1,0,150,0,7.5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Clefable,Fairy,,95,70,73,95,90,60,483,1,1,25,0,40.0,1.3,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
Vulpix,Fire,,38,41,40,50,65,65,299,1,0,190,0,9.9,0.6,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Alolan Vulpix,Ice,,38,41,40,50,65,65,299,7,0,190,0,9.9,0.6,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
Ninetales,Fire,,73,76,75,81,100,100,505,1,1,75,0,19.9,1.1,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Alolan Ninetales,Ice,Fairy,73,67,75,81,100,109,505,7,1,75,0,19.9,1.1,1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0
Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,1,0,170,0,5.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,1,1,50,0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
Zubat,Poison,Flying,40,45,35,30,40,55,245,1,0,255,0,7.5,0.8,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
Golbat,Poison,Flying,75,80,70,65,75,90,455,1,0,90,0,55.0,1.6,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
Oddish,Grass,Poison,45,50,55,75,65,30,320,1,0,255,0,5.4,0.5,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Gloom,Grass,Poison,60,65,70,85,75,40,395,1,0,120,0,8.6,0.8,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Vileplume,Grass,Poison,75,80,85,110,90,50,490,1,1,45,0,18.6,1.2,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Paras,Bug,Grass,35,70,55,45,55,25,285,1,0,190,0,5.4,0.3,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Parasect,Bug,Grass,60,95,80,60,80,30,405,1,1,75,0,29.5,1.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Venonat,Bug,Poison,60,55,50,40,55,45,305,1,0,190,0,30.0,1.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Venomoth,Bug,Poison,70,65,60,90,75,90,450,1,1,75,0,12.5,1.5,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Diglett,Ground,,10,55,25,35,45,95,265,1,0,255,0,0.8,0.2,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Alolan Diglett,Ground,Steel,10,55,30,35,45,90,265,7,0,255,0,1.0,0.2,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
Dugtrio,Ground,,35,100,50,50,70,120,425,1,1,50,0,33.3,0.7,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Alolan Dugtrio,Ground,Steel,35,100,60,50,70,110,425,7,1,50,0,66.6,0.7,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
Meowth,Normal,,40,45,35,40,40,90,290,1,0,255,0,4.2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Alolan Meowth,Dark,,40,35,35,50,40,90,290,7,0,255,0,4.2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Galarian Meowth,Steel,,50,65,55,40,40,40,290,8,0,255,0,7.5,0.4,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
Persian,Normal,,65,70,60,65,65,115,440,1,1,90,0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Alolan Persian,Dark,,65,60,60,75,65,115,440,7,1,90,0,33.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Psyduck,Water,,50,52,48,65,50,55,320,1,0,190,0,19.6,0.8,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Golduck,Water,,80,82,78,95,80,85,500,1,1,75,0,76.6,1.7,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Mankey,Fighting,,40,80,35,35,45,70,305,1,0,190,0,28.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Primeape,Fighting,,65,105,60,60,70,95,455,1,1,75,0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Growlithe,Fire,,55,70,45,70,50,60,350,1,0,190,0,19.0,0.7,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Arcanine,Fire,,90,110,80,100,80,95,555,1,1,75,0,155.0,1.9,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Poliwag,Water,,40,50,40,40,40,90,300,1,0,255,0,12.4,0.6,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwhirl,Water,,65,65,65,50,50,90,385,1,0,120,0,20.0,1.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Poliwrath,Water,Fighting,90,95,95,70,90,70,510,1,1,45,0,54.0,1.3,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
Abra,Psychic,,25,20,15,105,55,90,310,1,0,200,0,19.5,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Kadabra,Psychic,,40,35,30,120,70,105,400,1,0,100,0,56.5,1.3,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Alakazam,Psychic,,55,50,45,135,95,120,500,1,1,50,0,48.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Mega Alakazam,Psychic,,55,50,65,175,95,150,590,6,1,50,0,48.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Machop,Fighting,,70,80,50,35,35,35,305,1,0,180,0,19.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Machoke,Fighting,,80,100,70,50,60,45,405,1,0,90,0,70.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Machamp,Fighting,,90,130,80,65,85,55,505,1,1,45,0,130.0,1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Bellsprout,Grass,Poison,50,75,35,70,30,40,300,1,0,255,0,4.0,0.7,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Weepinbell,Grass,Poison,65,90,50,85,45,55,390,1,0,120,0,6.4,1.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Victreebel,Grass,Poison,80,105,65,100,70,70,490,1,1,45,0,15.5,1.7,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Tentacool,Water,Poison,40,40,35,50,100,70,335,1,0,190,0,45.5,0.9,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Tentacruel,Water,Poison,80,70,65,80,120,100,515,1,1,60,0,55.0,1.6,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Geodude,Rock,Ground,40,80,100,30,30,20,300,1,0,255,0,20.0,0.4,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Alolan Geodude,Rock,Electric,40,80,100,30,30,20,300,7,0,255,0,20.3,0.4,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Graveler,Rock,Ground,55,95,115,45,45,35,390,1,0,120,0,105.0,1.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Alolan Graveler,Rock,Electric,55,95,115,45,45,35,390,7,0,120,0,110.0,1.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Golem,Rock,Ground,80,120,130,55,65,45,495,1,1,45,0,300.0,1.4,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Alolan Golem,Rock,Electric,80,120,130,55,65,45,495,7,1,45,0,316.0,1.7,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ponyta,Fire,,50,85,55,65,65,90,410,1,0,190,0,30.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Galarian Ponyta,Psychic,,50,85,55,65,65,90,410,8,0,190,0,24.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Rapidash,Fire,,65,100,70,80,80,105,500,1,1,60,0,95.0,1.7,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Galarian Rapidash,Psychic,Fairy,65,100,70,80,80,105,500,8,1,60,0,80.0,1.7,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
Slowpoke,Water,Psychic,90,65,65,40,40,15,315,1,0,190,0,36.0,1.2,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Galarian Slowpoke,Psychic,,90,65,65,40,40,15,315,8,0,190,0,36.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Slowbro,Water,Psychic,95,75,110,100,80,30,490,1,1,75,0,78.5,1.6,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Mega Slowbro,Water,Psychic,95,75,180,130,80,30,590,6,1,75,0,120.0,2.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Galarian Slowbro,Poison,Psychic,95,100,95,100,70,30,490,8,1,75,0,70.5,1.6,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
Magnemite,Electric,Steel,25,35,70,95,55,45,325,1,0,190,0,6.0,0.3,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
Magneton,Electric,Steel,50,60,95,120,70,70,465,1,0,60,0,60.0,1.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,1,1,45,0,15.0,0.8,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Galarian Farfetch'd,Fighting,,52,95,55,58,62,55,377,8,0,45,0,42.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
Doduo,Normal,Flying,35,85,45,35,35,75,310,1,0,190,0,39.2,1.4,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Dodrio,Normal,Flying,60,110,70,60,60,110,470,1,1,45,0,85.2,1.8,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
Seel,Water,,65,45,55,45,70,45,325,1,0,190,0,90.0,1.1,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Dewgong,Water,Ice,90,70,80,70,95,70,475,1,1,75,0,120.0,1.7,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Grimer,Poison,,80,80,50,40,50,25,325,1,0,190,0,30.0,0.9,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Alolan Grimer,Poison,Dark,80,80,50,40,50,25,325,7,0,190,0,42.0,0.7,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
Muk,Poison,,105,105,75,65,100,50,500,1,1,75,0,30.0,1.2,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
